Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
15/10/2024,1960,1991.45,1951.75,1959.3,5353705
16/10/2024,1955,1959.55,1916.35,1920.1,3111512
17/10/2024,1935.2,1978,1930.15,1968.1,8162822
18/10/2024,1893.8,1936.85,1869.25,1879.6,10526196
21/10/2024,1891.1,1898.8,1838,1852.75,4654601
22/10/2024,1858.2,1877.8,1846.95,1851.6,4125240
23/10/2024,1845.25,1886,1844,1873.4,4311910
24/10/2024,1861.4,1884,1860,1863.35,2906475
25/10/2024,1863.45,1876.35,1846.4,1862.05,4689120
28/10/2024,1859.7,1881.9,1857,1865.35,7018940
29/10/2024,1846,1851.6,1829,1839.3,4621252
